S No,SSA,Release Date,Cohort Name,NPS Type,Promoters,Passive,Detractors,Cohort Size,NPS Score,Responses,Response %,Category
1,Preety,15 March 2026,2nd Mid November 2025,Week 16,10,3,0,23,77%,13,56.52%,LevelUp
2,Preety,22 March 2026,Mid- January 2026,Week 10,16,8,1,41,60%,25,60.98%,LevelUp
3,Preety,10 May 2026,Mid-March 2026,Week 10,8,4,5,67,18%,17,25.37%,LevelUp
4,Srishti,6 April 2026,2nd Mid-December 2025,Week 16,25,3,0,55,89%,28,50.91%,LevelUp
5,Srishti,10 May 2026,TPM Early-March 2026,Week 6,12,5,2,28,53%,19,67.86%,LevelUp
6,Srishti,10 May 2026,PM Early-March 2026,Week 6,1,2,0,11,33%,3,27.27%,LevelUp
7,Aditi,12 April 2026,Mid-February 2026,Week 10,31,2,3,61,78%,36,59.02%,LevelUp
8,Aditi,24 May 2026,Mid-February 2026,Week 16,12,7,1,51,55%,20,39.22%,LevelUp
9,Aishwarya,3 May 2026,Mid- January 2026,Week 16,10,2,2,32,57%,14,43.75%,LevelUp
10,Aishwarya,7 June 2026,Early-April 2026,Week 10,12,4,0,86,75%,16,18.60%,LevelUp
,Team,Q2,Team NPS - Level Up,,137,40,14,455,64%,191,41.98%,Total LevelUp
1,Aditi,15 March 2026,Transformative GenAI For SWEs - IND End-January 2026,NPS 1,14,4,0,32,78%,18,56.25%,Agentic
2,Aditi,3 May 2026,Transformative GenAI For Tech Professinals - IND End-February 2026,NPS 1,18,1,5,45,54%,24,53.33%,Agentic
3,Aditi,9 May 2026,Transformative GenAI For SWEs- IND End-January 2026,NPS 2,10,3,0,30,77%,13,43.33%,Agentic
4,Srishti,22 March 2026,Transformative GenAI For SWEs - IND End-November 2025,NPS 2,14,4,0,29,78%,18,62.07%,Agentic
5,Srishti,10 May 2026,Transformative GenAI For Tech Professionals - IND Early-January 2026,NPS 2,8,2,2,42,50%,12,28.57%,Agentic
6,Srishti,7 June 2026,Transformative GenAI For Tech Professionals - IND End-March 2026 : Cohort 2,NPS 1,3,4,2,36,11%,9,25.00%,Agentic
7,Aishwarya,29 March 2026,Transformative GenAI For Tech Professionals - IND End-January 2026,NPS 1,15,3,4,40,50%,22,55.00%,Agentic
8,Aishwarya,26 April 2026,Transformative GenAI For SWEs - IND Early-January 2026,NPS 2,15,3,3,41,57%,21,51.22%,Agentic
9,Preety,19 April 2026,Transformative GenAI For SWEs - IND End-February 2026,NPS 1,8,10,3,39,24%,21,53.85%,Agentic
10,Preety,31 May 2026,Transformative GenAI For SWEs - IND End-March 2026,NPS 1,6,3,3,51,25%,12,23.53%,Agentic
,Team,Q2,Team NPS - Agentic AI,,111,37,22,385,52%,170,44.16%,Total Agentic
1,Aishwarya,15 March 2026,Machine Learning Flagship - IND 2nd Mid-December 2025,NPS 1,7,2,0,17,78%,9,52.94%,Switchup
2,Srishti,22 March 2026,Machine Learning Flagship - IND End-July 2025,NPS 2,7,3,0,19,70%,10,52.63%,Switchup
3,Srishti,17 May 2026,Machine Learning Flagship - IND Mid-February 2026,NPS 1,3,3,0,17,50%,6,35.29%,Switchup
4,Aditi,17 May 2026,Machine Learning Flagship - IND Mid-October 2025,NPS 2,9,2,1,24,67%,12,50.00%,Switchup
,Team,Q2,Team NPS - Machine Learning Flagship,,26,10,1,77,68%,37,48.05%,Total Switchup
1,Preety,,,NPS 1,8,3,2,50,46%,13,26.00%,Fastrack
,Team,Q2,Team NPS - Fast Track,,8,3,2,50,46%,13,26.00%,Total Fastrack
1,Aishwarya,12 April 2026,PwC x IK Agentic AI Accelerator - IND 2nd Mid-February 2026,NPS 1,19,5,1,47,72%,25,53.19%,PwC
2,Preety,31 May 2026,PwC x IK Agentic AI Accelerator - IND 2nd Mid-March 2026,NPS 1,8,4,2,28,43%,14,50.00%,PwC
,Team,Q2,Team NPS - PwC,,27,9,3,75,62%,39,52.00%,Total PwC
